scenario,policy,week,planning_status,fulfillment_status,planning_solve_seconds,fulfillment_solve_seconds,planned_objective,demand_units,fulfilled_units,shortage_units,fill_rate,ordered_units,ending_inventory,procurement_cost,shipping_cost,risk_cost,holding_cost,shortage_cost,service_gap_cost,total_cost,expected_late_units,supplier_risk_units
base,ridge,2018-08-20,Optimal,Optimal,0.06762724998407066,0.02629612499731593,316012.41008511145,729.0,729.0,0.0,1.0,1347.0,824.0,62543.472,10373.565,756.2942983417887,628.7986000000001,0.0,0.0,74302.1298983418,55.383933455823716,62.644566139039796
safety_0,ridge,2018-05-28,Optimal,Optimal,0.0746999999973923,0.02832208399195224,188816.5828422567,793.0,793.0,0.0,1.0,464.0,872.0,22437.504,12122.41,846.0219148201903,650.2664,0.0,0.0,36056.202314820184,63.00832882252988,68.39105684799021
safety_0,ridge,2018-06-04,Optimal,Optimal,0.06438758299918845,0.03688308299751952,197594.54749882038,1082.0,992.0,90.0,0.9168207024029574,660.0,344.0,31552.284,15220.98,1037.4135358102258,250.4883,8835.300000000001,0.0,56896.46583581023,76.86350832485326,84.50109384227994
safety_0,ridge,2018-06-11,Optimal,Optimal,0.06493170899921097,0.028289749985560775,276767.1441983612,1127.0,906.0,221.0,0.8039041703637977,1098.0,98.0,51680.628,13497.155,955.6633157496581,66.9896,25569.8975,17680.0426875,109450.37610324965,67.95080613164589,82.41137333929818
safety_0,ridge,2018-06-18,Optimal,Optimal,0.0652904589951504,0.03356295800767839,235539.1079709824,1115.0,1052.0,63.0,0.9434977578475336,1121.0,144.0,52924.782,15702.015,1105.1732642228887,99.2918,6851.5925,0.0,76682.85456422289,81.25330902102544,91.02935841093705
safety_0,ridge,2018-06-25,Optimal,Optimal,0.06492358300602064,0.030135875014821067,210666.02757209996,1096.0,1081.0,15.0,0.9863138686131386,936.0,184.0,44032.422,16361.56,1141.0501899553462,144.7025,1743.5249999999999,0.0,63423.25968995535,84.19695826589458,93.49490476563788
safety_0,ridge,2018-07-02,Optimal,Optimal,0.06606037501478568,0.02877645898843184,207823.2993281648,922.0,911.0,11.0,0.9880694143167028,900.0,209.0,41564.682,13832.825,958.3644151916,167.8103,1000.835,0.0,57524.516715191596,70.31371604370854,79.17093736838629
safety_0,ridge,2018-07-09,Optimal,Optimal,0.06473095799447037,0.029381582979112864,193014.96794238096,695.0,695.0,0.0,1.0,753.0,414.0,34764.81,11266.91,753.7942546034209,287.55940000000004,0.0,0.0,47073.07365460342,57.96665235661064,58.012207150107145
safety_0,ridge,2018-07-16,Optimal,Optimal,0.06305862500448711,0.03670579200843349,184007.53701249245,1202.0,1024.0,178.0,0.8519134775374376,515.0,143.0,26458.782,15233.835,1079.1410550135415,98.51780000000001,25306.8175,9435.886125,77612.97948001354,78.39089259360837,90.40278285293488
safety_0,ridge,2018-07-23,Optimal,Optimal,0.06396054101060145,0.02895350000471808,331330.7005874931,1207.0,658.0,549.0,0.5451532725766363,1133.0,0.0,53203.014,9492.605,677.1689012050178,0.0,56804.065,69920.24268750001,190097.09558870504,49.85686978419173,55.662788586296806
safety_0,ridge,2018-07-30,Optimal,Optimal,0.06582091702148318,0.02886379198753275,234778.69539434227,1482.0,1120.0,362.0,0.7557354925775979,1114.0,13.0,51391.902,15873.82,1148.047524341555,7.786999999999999,38438.995,34902.98362500001,141763.53514934157,83.25528756756519,96.40104476020666
safety_0,ridge,2018-08-06,Optimal,Optimal,0.0668189580028411,0.028982291027205065,286354.7013652121,1451.0,1110.0,341.0,0.7649896623018608,1218.0,17.0,56747.256,15888.35,1135.9629517064234,10.183,35921.585,32062.422750000005,141765.7597017064,81.65658291230187,96.5420576816017
safety_0,ridge,2018-08-13,Optimal,Optimal,0.06804204199579544,0.0404200830089394,267293.010201502,1366.0,1203.0,163.0,0.8806734992679356,1238.0,32.0,56949.042,17563.954999999998,1250.8038978340758,28.8241,17708.455,4309.816500000001,97810.89649783408,90.89881043340587,104.72268287336576
safety_0,ridge,2018-08-20,Optimal,Optimal,0.06670162500813603,0.02705104200867936,277579.1025508545,729.0,729.0,0.0,1.0,1234.0,541.0,57212.028,10373.565,756.2942983417887,418.3827,0.0,0.0,68760.26999834178,55.383933455823716,62.644566139039796
safety_1,ridge,2018-05-28,Optimal,Optimal,0.06537283299257979,0.028735125000821427,297781.2219119485,793.0,793.0,0.0,1.0,1210.0,872.0,57186.054000000004,12122.41,846.0219148201903,650.2664,0.0,0.0,70804.75231482019,63.00832882252988,68.39105684799021
safety_1,ridge,2018-06-04,Optimal,Optimal,0.06509216601261869,0.029012750019319355,270738.6156342004,1082.0,1082.0,0.0,1.0,769.0,1000.0,36710.244,16461.135,1140.7371973574413,770.5476,0.0,0.0,55082.66379735743,84.40189755292947,93.10440338680111
safety_1,ridge,2018-06-11,Optimal,Optimal,0.07075341697782278,0.03491487499559298,326551.936991572,1127.0,1096.0,31.0,0.9724933451641526,1294.0,673.0,60440.520000000004,16625.14,1137.845014292715,521.7072000000001,3595.535,0.0,82320.74721429273,83.41312706973928,94.10799954696019
safety_1,ridge,2018-06-18,Optimal,Optimal,0.06770983300521038,0.02919200001633726,304576.10418807616,1115.0,1115.0,0.0,1.0,1246.0,852.0,59124.648,16675.26,1183.401044196151,653.3143,0.0,0.0,77636.62334419615,87.31596212333422,96.9746694418954
safety_1,ridge,2018-06-25,Optimal,Optimal,0.06612450000829995,0.02893383300397545,275252.3184299975,1096.0,1096.0,0.0,1.0,970.0,1002.0,44496.534,16606.04,1161.9273519523103,790.0411,0.0,0.0,63054.542451952315,85.50725955911884,95.57385509587196
safety_1,ridge,2018-07-02,Optimal,Optimal,0.07289654199848883,0.030661166994832456,269029.51373349805,922.0,922.0,0.0,1.0,950.0,1050.0,42402.546,13824.765,968.9789445594403,814.2951,0.0,0.0,58010.58504455945,71.17252828065105,79.91974366284637
safety_1,ridge,2018-07-09,Optimal,Optimal,0.0643068749923259,0.02884470799472183,254300.51777746005,695.0,695.0,0.0,1.0,716.0,1305.0,33702.072,11201.17,746.2597564536424,948.0086,0.0,0.0,46597.51035645364,56.644070967367654,58.62143774294023
safety_1,ridge,2018-07-16,Optimal,Optimal,0.06683395800064318,0.03695845798938535,245406.87966270652,1202.0,1193.0,9.0,0.9925124792013311,548.0,828.0,28991.904000000002,18169.87,1267.6989759201065,573.3508,1596.24,0.0,50599.06377592011,93.90382873125404,103.2936692140148
safety_1,ridge,2018-07-23,Optimal,Optimal,0.06769808300305158,0.029271332983626053,322115.21419986186,1207.0,1188.0,19.0,0.9842584921292461,1470.0,188.0,68601.834,18224.325,1258.2315008076785,146.7971,1983.94,0.0,90215.12760080768,92.75858108916788,103.23257041886708
safety_1,ridge,2018-07-30,Optimal,Optimal,0.06837654201081023,0.02961458300705999,304305.62200795003,1482.0,1436.0,46.0,0.9689608636977058,1380.0,222.0,62816.466,21764.37,1517.61327171744,179.2337,4348.56,0.0,90626.24297171742,112.63989591588216,123.29882087807653
safety_1,ridge,2018-08-06,Optimal,Optimal,0.06855112500488758,0.029548625025199726,344234.3836046987,1451.0,1388.0,63.0,0.9565816678152997,1554.0,214.0,72077.28600000001,20924.055,1453.6914476857944,162.2362,5217.6425,16.3250625,99851.23621018579,108.48794183795695,117.15758259642772
safety_1,ridge,2018-08-13,Optimal,Optimal,0.06798491600784473,0.02788166599930264,342250.0790443887,1366.0,1366.0,0.0,1.0,1522.0,402.0,69067.2,20294.05,1440.1314104830674,315.7176,0.0,0.0,91117.09901048307,106.06540705621093,118.32163080667601
safety_1,ridge,2018-08-20,Optimal,Optimal,0.0700291249959264,0.02887783298501745,348457.490915192,729.0,729.0,0.0,1.0,1444.0,1195.0,66797.52,10373.565,756.2942983417887,907.2455,0.0,0.0,78834.6247983418,55.383933455823716,62.644566139039796
lead_time_2,ridge,2018-05-28,Optimal,Optimal,0.0678637079836335,0.029330249992199242,211758.24426152304,793.0,793.0,0.0,1.0,1182.0,1704.0,55488.522,12067.83,836.8686289154961,1279.6669,0.0,0.0,69672.8875289155,62.00496883758534,68.16577564296266
lead_time_2,ridge,2018-06-04,Optimal,Optimal,0.06626625001081266,0.03625525001552887,184555.8186853527,1082.0,1034.0,48.0,0.955637707948244,780.0,670.0,38482.314,16173.765,1101.6860905335939,475.4264,4345.68,0.0,60578.87149053359,84.32722487769499,85.41365830240682
lead_time_2,ridge,2018-06-11,Optimal,Optimal,0.0684877919848077,0.03896200002054684,246277.57422071605,1127.0,1105.0,22.0,0.9804791481810116,1219.0,747.0,57861.924,16628.265,1143.8074642035826,532.3663,2551.67,0.0,78718.03276420358,84.31314112106861,93.86046704700674
lead_time_2,ridge,2018-06-18,Optimal,Optimal,0.06804187499801628,0.028412209008820355,232118.75991694076,1115.0,959.0,156.0,0.8600896860986547,1205.0,568.0,56827.866,14380.895,1016.2009894241063,422.64730000000003,18093.66,7264.6528125,98005.92210192411,73.07166256907075,86.32553777430803
lead_time_2,ridge,2018-06-25,Optimal,Optimal,0.06791683300980367,0.02942441700724885,183400.8547941869,1096.0,1096.0,0.0,1.0,871.0,691.0,39681.414000000004,16624.93,1159.3704964348606,538.3287,0.0,0.0,58004.04319643486,85.63367930429175,94.86021240010535
lead_time_2,ridge,2018-07-02,Optimal,Optimal,0.06665433300076984,0.02847649998147972,183071.784240304,922.0,922.0,0.0,1.0,918.0,974.0,41549.502,13821.965,974.1770755071383,768.1049,0.0,0.0,57113.74897550714,71.23915971999295,80.85275954943894
lead_time_2,ridge,2018-07-09,Optimal,Optimal,0.0639976249949541,0.02865841699531302,167632.3844501695,695.0,695.0,0.0,1.0,730.0,1150.0,34156.716,11224.66,753.1281720032662,856.4662,0.0,0.0,46990.97037200326,57.19219129968627,59.1181283211552
lead_time_2,ridge,2018-07-16,Optimal,Optimal,0.0673125839966815,0.028364458004944026,160516.55748849935,1202.0,1202.0,0.0,1.0,488.0,866.0,25869.48,18421.559999999998,1283.483047372273,600.9889000000001,0.0,0.0,46175.51194737227,95.93177407296804,103.20577095770575
lead_time_2,ridge,2018-07-23,Optimal,Optimal,0.06786550002289005,0.03580570800113492,308836.88102775434,1207.0,1133.0,74.0,0.9386909693454847,1296.0,463.0,60371.724,17419.185,1229.4758096892238,329.9166,11545.140000000001,0.0,90895.44140968921,89.63024637911887,102.4867677312545
lead_time_2,ridge,2018-07-30,Optimal,Optimal,0.06580437501543202,0.02950545900966972,292323.56695999764,1482.0,924.0,558.0,0.6234817813765182,1260.0,27.0,58145.142,13295.295,940.7194179866378,16.173,58350.0925,66900.106125,197647.52804298664,67.84749110871721,79.58789782338005
lead_time_2,ridge,2018-08-06,Optimal,Optimal,0.06767066600150429,0.03675925001152791,275073.9462410843,1451.0,1270.0,181.0,0.8752584424534804,1342.0,53.0,62569.842,18824.195,1326.2625328426068,41.639,17519.7725,5860.697437500001,106142.4084703426,97.07105589887084,109.93881713032803
lead_time_2,ridge,2018-08-13,Optimal,Optimal,0.06742741700145416,0.034302416985156015,274583.3043345349,1366.0,1218.0,148.0,0.8916544655929722,1426.0,95.0,65614.422,18021.15,1265.4326889971521,72.5438,16087.505,1861.057125,102922.11061399717,91.9458209251973,105.97322431911472
lead_time_2,ridge,2018-08-20,Optimal,Optimal,0.09977812500437722,0.030351499997777864,260393.34402700857,729.0,729.0,0.0,1.0,1462.0,708.0,67072.56,10373.565,756.2942983417887,555.7824,0.0,0.0,78758.20169834179,55.383933455823716,62.644566139039796
