scenario,policy,origin_week,hub,category,ending_inventory
base,last_week,2018-07-02,SC,telephony,0.0
base,last_week,2018-07-02,SC,watches_gifts,6.0
base,last_week,2018-07-02,RS,auto,0.0
base,last_week,2018-07-02,RS,bed_bath_table,0.0
base,last_week,2018-07-02,RS,computers_accessories,12.0
base,last_week,2018-07-02,RS,furniture_decor,0.0
base,last_week,2018-07-02,RS,garden_tools,0.0
base,last_week,2018-07-02,RS,health_beauty,0.0
base,last_week,2018-07-02,RS,housewares,0.0
base,last_week,2018-07-02,RS,sports_leisure,0.0
base,last_week,2018-07-02,RS,telephony,0.0
base,last_week,2018-07-02,RS,watches_gifts,3.0
base,last_week,2018-07-09,SP,auto,60.0
base,last_week,2018-07-09,SP,bed_bath_table,146.0
base,last_week,2018-07-09,SP,computers_accessories,93.0
base,last_week,2018-07-09,SP,furniture_decor,73.0
base,last_week,2018-07-09,SP,garden_tools,60.0
base,last_week,2018-07-09,SP,health_beauty,59.0
base,last_week,2018-07-09,SP,housewares,122.0
base,last_week,2018-07-09,SP,sports_leisure,66.0
base,last_week,2018-07-09,SP,telephony,43.0
base,last_week,2018-07-09,SP,watches_gifts,56.0
base,last_week,2018-07-09,PR,auto,0.0
base,last_week,2018-07-09,PR,bed_bath_table,0.0
base,last_week,2018-07-09,PR,computers_accessories,0.0
base,last_week,2018-07-09,PR,furniture_decor,40.0
base,last_week,2018-07-09,PR,garden_tools,0.0
base,last_week,2018-07-09,PR,health_beauty,29.0
base,last_week,2018-07-09,PR,housewares,7.0
base,last_week,2018-07-09,PR,sports_leisure,3.0
base,last_week,2018-07-09,PR,telephony,0.0
base,last_week,2018-07-09,PR,watches_gifts,0.0
base,last_week,2018-07-09,MG,auto,0.0
base,last_week,2018-07-09,MG,bed_bath_table,0.0
base,last_week,2018-07-09,MG,computers_accessories,3.0
base,last_week,2018-07-09,MG,furniture_decor,13.0
base,last_week,2018-07-09,MG,garden_tools,0.0
base,last_week,2018-07-09,MG,health_beauty,0.0
base,last_week,2018-07-09,MG,housewares,0.0
base,last_week,2018-07-09,MG,sports_leisure,1.0
base,last_week,2018-07-09,MG,telephony,0.0
base,last_week,2018-07-09,MG,watches_gifts,0.0
base,last_week,2018-07-09,RJ,auto,0.0
base,last_week,2018-07-09,RJ,bed_bath_table,3.0
base,last_week,2018-07-09,RJ,computers_accessories,0.0
base,last_week,2018-07-09,RJ,furniture_decor,0.0
base,last_week,2018-07-09,RJ,garden_tools,1.0
base,last_week,2018-07-09,RJ,health_beauty,44.0
base,last_week,2018-07-09,RJ,housewares,0.0
base,last_week,2018-07-09,RJ,sports_leisure,6.0
base,last_week,2018-07-09,RJ,telephony,7.0
base,last_week,2018-07-09,RJ,watches_gifts,0.0
base,last_week,2018-07-09,SC,auto,0.0
base,last_week,2018-07-09,SC,bed_bath_table,19.0
