scenario,policy,origin_week,category,region,shortage_units
base,last_week,2018-07-16,sports_leisure,Northeast,0.0
base,last_week,2018-07-16,sports_leisure,South,0.0
base,last_week,2018-07-16,sports_leisure,Southeast,0.0
base,last_week,2018-07-16,telephony,Central-West,0.0
base,last_week,2018-07-16,telephony,North,0.0
base,last_week,2018-07-16,telephony,Northeast,0.0
base,last_week,2018-07-16,telephony,South,0.0
base,last_week,2018-07-16,telephony,Southeast,0.0
base,last_week,2018-07-16,watches_gifts,Central-West,7.0
base,last_week,2018-07-16,watches_gifts,North,2.0
base,last_week,2018-07-16,watches_gifts,Northeast,11.0
base,last_week,2018-07-16,watches_gifts,South,9.0
base,last_week,2018-07-16,watches_gifts,Southeast,9.0
base,last_week,2018-07-23,auto,Central-West,7.0
base,last_week,2018-07-23,auto,North,3.0
base,last_week,2018-07-23,auto,Northeast,10.0
base,last_week,2018-07-23,auto,South,1.0
base,last_week,2018-07-23,auto,Southeast,22.0
base,last_week,2018-07-23,bed_bath_table,Central-West,10.0
base,last_week,2018-07-23,bed_bath_table,North,0.0
base,last_week,2018-07-23,bed_bath_table,Northeast,6.0
base,last_week,2018-07-23,bed_bath_table,South,0.0
base,last_week,2018-07-23,bed_bath_table,Southeast,51.0
base,last_week,2018-07-23,computers_accessories,Central-West,6.0
base,last_week,2018-07-23,computers_accessories,North,6.0
base,last_week,2018-07-23,computers_accessories,Northeast,9.0
base,last_week,2018-07-23,computers_accessories,South,0.0
base,last_week,2018-07-23,computers_accessories,Southeast,18.0
base,last_week,2018-07-23,furniture_decor,Central-West,0.0
base,last_week,2018-07-23,furniture_decor,North,6.0
base,last_week,2018-07-23,furniture_decor,Northeast,9.0
base,last_week,2018-07-23,furniture_decor,South,7.0
base,last_week,2018-07-23,furniture_decor,Southeast,25.0
base,last_week,2018-07-23,garden_tools,Central-West,0.0
base,last_week,2018-07-23,garden_tools,North,0.0
base,last_week,2018-07-23,garden_tools,Northeast,3.0
base,last_week,2018-07-23,garden_tools,South,0.0
base,last_week,2018-07-23,garden_tools,Southeast,0.0
base,last_week,2018-07-23,health_beauty,Central-West,0.0
base,last_week,2018-07-23,health_beauty,North,6.0
base,last_week,2018-07-23,health_beauty,Northeast,22.0
base,last_week,2018-07-23,health_beauty,South,0.0
base,last_week,2018-07-23,health_beauty,Southeast,0.0
base,last_week,2018-07-23,housewares,Central-West,20.0
base,last_week,2018-07-23,housewares,North,0.0
base,last_week,2018-07-23,housewares,Northeast,6.0
base,last_week,2018-07-23,housewares,South,23.0
base,last_week,2018-07-23,housewares,Southeast,32.0
base,last_week,2018-07-23,sports_leisure,Central-West,0.0
base,last_week,2018-07-23,sports_leisure,North,6.0
base,last_week,2018-07-23,sports_leisure,Northeast,6.0
base,last_week,2018-07-23,sports_leisure,South,0.0
base,last_week,2018-07-23,sports_leisure,Southeast,0.0
base,last_week,2018-07-23,telephony,Central-West,4.0
base,last_week,2018-07-23,telephony,North,0.0
base,last_week,2018-07-23,telephony,Northeast,17.0
base,last_week,2018-07-23,telephony,South,1.0
base,last_week,2018-07-23,telephony,Southeast,9.0
base,last_week,2018-07-23,watches_gifts,Central-West,0.0
base,last_week,2018-07-23,watches_gifts,North,0.0
base,last_week,2018-07-23,watches_gifts,Northeast,0.0
base,last_week,2018-07-23,watches_gifts,South,0.0
base,last_week,2018-07-23,watches_gifts,Southeast,0.0
base,last_week,2018-07-30,auto,Central-West,0.0
base,last_week,2018-07-30,auto,North,0.0
base,last_week,2018-07-30,auto,Northeast,0.0
base,last_week,2018-07-30,auto,South,0.0
base,last_week,2018-07-30,auto,Southeast,0.0
base,last_week,2018-07-30,bed_bath_table,Central-West,0.0
base,last_week,2018-07-30,bed_bath_table,North,0.0
base,last_week,2018-07-30,bed_bath_table,Northeast,0.0
base,last_week,2018-07-30,bed_bath_table,South,0.0
base,last_week,2018-07-30,bed_bath_table,Southeast,0.0
base,last_week,2018-07-30,computers_accessories,Central-West,0.0
base,last_week,2018-07-30,computers_accessories,North,0.0
base,last_week,2018-07-30,computers_accessories,Northeast,7.0
base,last_week,2018-07-30,computers_accessories,South,0.0
base,last_week,2018-07-30,computers_accessories,Southeast,17.0
base,last_week,2018-07-30,furniture_decor,Central-West,0.0
base,last_week,2018-07-30,furniture_decor,North,0.0
base,last_week,2018-07-30,furniture_decor,Northeast,0.0
base,last_week,2018-07-30,furniture_decor,South,0.0
base,last_week,2018-07-30,furniture_decor,Southeast,4.0
base,last_week,2018-07-30,garden_tools,Central-West,0.0
base,last_week,2018-07-30,garden_tools,North,0.0
base,last_week,2018-07-30,garden_tools,Northeast,0.0
base,last_week,2018-07-30,garden_tools,South,0.0
base,last_week,2018-07-30,garden_tools,Southeast,0.0
base,last_week,2018-07-30,health_beauty,Central-West,0.0
base,last_week,2018-07-30,health_beauty,North,0.0
base,last_week,2018-07-30,health_beauty,Northeast,0.0
base,last_week,2018-07-30,health_beauty,South,0.0
base,last_week,2018-07-30,health_beauty,Southeast,0.0
base,last_week,2018-07-30,housewares,Central-West,8.0
base,last_week,2018-07-30,housewares,North,0.0
base,last_week,2018-07-30,housewares,Northeast,0.0
base,last_week,2018-07-30,housewares,South,5.0
base,last_week,2018-07-30,housewares,Southeast,33.0
base,last_week,2018-07-30,sports_leisure,Central-West,0.0
base,last_week,2018-07-30,sports_leisure,North,3.0
base,last_week,2018-07-30,sports_leisure,Northeast,0.0
base,last_week,2018-07-30,sports_leisure,South,0.0
base,last_week,2018-07-30,sports_leisure,Southeast,17.0
base,last_week,2018-07-30,telephony,Central-West,0.0
base,last_week,2018-07-30,telephony,North,0.0
base,last_week,2018-07-30,telephony,Northeast,6.0
base,last_week,2018-07-30,telephony,South,5.0
base,last_week,2018-07-30,telephony,Southeast,12.0
base,last_week,2018-07-30,watches_gifts,Central-West,0.0
base,last_week,2018-07-30,watches_gifts,North,0.0
base,last_week,2018-07-30,watches_gifts,Northeast,0.0
base,last_week,2018-07-30,watches_gifts,South,0.0
base,last_week,2018-07-30,watches_gifts,Southeast,0.0
base,last_week,2018-08-06,auto,Central-West,0.0
base,last_week,2018-08-06,auto,North,0.0
base,last_week,2018-08-06,auto,Northeast,3.0
base,last_week,2018-08-06,auto,South,2.0
base,last_week,2018-08-06,auto,Southeast,0.0
base,last_week,2018-08-06,bed_bath_table,Central-West,0.0
base,last_week,2018-08-06,bed_bath_table,North,0.0
base,last_week,2018-08-06,bed_bath_table,Northeast,0.0
base,last_week,2018-08-06,bed_bath_table,South,0.0
base,last_week,2018-08-06,bed_bath_table,Southeast,17.0
base,last_week,2018-08-06,computers_accessories,Central-West,0.0
base,last_week,2018-08-06,computers_accessories,North,0.0
base,last_week,2018-08-06,computers_accessories,Northeast,0.0
base,last_week,2018-08-06,computers_accessories,South,0.0
base,last_week,2018-08-06,computers_accessories,Southeast,0.0
base,last_week,2018-08-06,furniture_decor,Central-West,0.0
base,last_week,2018-08-06,furniture_decor,North,0.0
base,last_week,2018-08-06,furniture_decor,Northeast,0.0
base,last_week,2018-08-06,furniture_decor,South,0.0
