hub,category,region,sample_size,raw_late_dispatch_rate,raw_late_delivery_rate,median_freight,median_approval_to_carrier_days,shipping_cost,late_probability,supplier_risk,expected_risk_cost_per_unit,risk_adjusted_route_cost,evidence_level
RS,computers_accessories,Central-West,15,0.06666666666666667,0.0,22.43,2.0168518518518517,22.43,0.05652619234936987,0.0995179866686702,0.94979947213831,23.37979947213831,medium
RJ,bed_bath_table,South,24,0.16666666666666666,0.0,16.79,2.7904108796296296,16.79,0.04790355283844904,0.1116024787646289,0.9412408165307369,17.731240816530736,medium
SP,health_beauty,South,714,0.08806818181818182,0.06349206349206349,16.46,1.6150462962962964,16.46,0.06432185387014903,0.0852312442959161,0.9407310524407728,17.400731052440772,high
MG,bed_bath_table,Southeast,257,0.1062992125984252,0.04365079365079365,15.7,2.157881944444444,15.7,0.04817529483438499,0.1110357686898475,0.9405812021243174,16.640581202124316,high
PR,sports_leisure,North,17,0.058823529411764705,0.13333333333333333,42.38,0.9802546296296296,42.38,0.09652619234936986,0.033031110872583085,0.9373650931578743,43.317365093157875,medium
SP,housewares,Central-West,237,0.11814345991561181,0.05128205128205128,18.23,1.9258449074074073,18.23,0.0551163926299944,0.09918144447005646,0.9368383633902375,19.166838363390237,high
PR,garden_tools,Central-West,9,0.2222222222222222,0.0,38.25,2.097962962962963,38.25,0.06572813063880217,0.08203259122870159,0.9359880012539253,39.185988001253925,low
RJ,sports_leisure,Southeast,280,0.09057971014492754,0.05860805860805861,15.46,1.582476851851852,15.46,0.0611243818748977,0.08871477045959845,0.9325689072971739,16.392568907297175,high
RJ,garden_tools,North,1,0.0,0.0,69.02,2.1215046296296296,69.02,0.07850860048523593,0.060806178949509716,0.9320996986294361,69.95209969862944,low
SP,watches_gifts,Central-West,309,0.04560260586319218,0.07894736842105263,17.19,1.720625,17.19,0.07913365668869762,0.05938900733503137,0.9300142901847379,18.120014290184738,high
MG,garden_tools,Northeast,44,0.022727272727272728,0.11363636363636363,50.5,1.207818287037037,50.5,0.09906721034770245,0.025755298894095207,0.9213141772520956,51.42131417725209,high
PR,auto,Central-West,9,0.1111111111111111,0.0,33.58,1.6804166666666667,33.58,0.0642343094879203,0.08020127879952639,0.9148808699009944,34.494880869900996,low
RJ,telephony,Northeast,7,0.0,0.16666666666666666,19.94,5.87021412037037,19.94,0.09332462481630471,0.03326706587145713,0.9129323278877233,20.852932327887725,low
MG,sports_leisure,Central-West,35,0.05714285714285714,0.0,17.58,1.6164814814814814,17.58,0.040375851678121334,0.11745801602210397,0.9102968935354905,18.49029689353549,high
RJ,furniture_decor,South,14,0.21428571428571427,0.0,17.215,1.003611111111111,17.215,0.057679788111601904,0.08967372314350126,0.9098069206103215,18.12480692061032,medium
MG,bed_bath_table,South,30,0.13793103448275862,0.0,22.245,2.444351851851852,22.245,0.04416108777294521,0.1110357686898475,0.9084675456327992,23.1534675456328,high
SP,auto,Southeast,2229,0.06349206349206349,0.07664066085360258,14.52,1.5147222222222223,14.52,0.07670565023372561,0.05826164847633178,0.9049534442514637,15.424953444251463,high
RJ,garden_tools,Northeast,3,0.0,0.0,25.63,1.9132986111111112,25.63,0.07437656888074982,0.060806178949509716,0.8990434457935472,26.529043445793548,low
RJ,housewares,South,24,0.0,0.08695652173913043,18.725,1.6991666666666667,18.725,0.08321223478393955,0.046042844648967254,0.8959121015163527,19.620912101516353,medium
PR,watches_gifts,Central-West,17,0.0,0.0,21.19,0.9562962962962963,21.19,0.05435210802824026,0.09098214998685805,0.8897276141602124,22.079727614160213,medium
