scenario,policy,origin_week,target_week,horizon,region,service_gap
base,moving_average,2018-07-09,2018-07-23,3,North,0.0
base,moving_average,2018-07-09,2018-07-30,4,North,0.0
base,moving_average,2018-07-09,2018-07-09,1,Northeast,0.0
base,moving_average,2018-07-09,2018-07-16,2,Northeast,0.0
base,moving_average,2018-07-09,2018-07-23,3,Northeast,0.0
base,moving_average,2018-07-09,2018-07-30,4,Northeast,0.0
base,moving_average,2018-07-09,2018-07-09,1,South,0.0
base,moving_average,2018-07-09,2018-07-16,2,South,0.0
base,moving_average,2018-07-09,2018-07-23,3,South,0.0
base,moving_average,2018-07-09,2018-07-30,4,South,0.0
base,moving_average,2018-07-09,2018-07-09,1,Southeast,0.0
base,moving_average,2018-07-09,2018-07-16,2,Southeast,0.0
base,moving_average,2018-07-09,2018-07-23,3,Southeast,0.0
base,moving_average,2018-07-09,2018-07-30,4,Southeast,0.0
base,moving_average,2018-07-16,2018-07-16,1,Central-West,0.0
base,moving_average,2018-07-16,2018-07-23,2,Central-West,0.0
base,moving_average,2018-07-16,2018-07-30,3,Central-West,0.0
base,moving_average,2018-07-16,2018-08-06,4,Central-West,0.0
base,moving_average,2018-07-16,2018-07-16,1,North,0.0
base,moving_average,2018-07-16,2018-07-23,2,North,0.0
base,moving_average,2018-07-16,2018-07-30,3,North,0.0
base,moving_average,2018-07-16,2018-08-06,4,North,0.0
base,moving_average,2018-07-16,2018-07-16,1,Northeast,0.0
base,moving_average,2018-07-16,2018-07-23,2,Northeast,0.0
base,moving_average,2018-07-16,2018-07-30,3,Northeast,0.0
base,moving_average,2018-07-16,2018-08-06,4,Northeast,0.0
base,moving_average,2018-07-16,2018-07-16,1,South,0.0
base,moving_average,2018-07-16,2018-07-23,2,South,0.0
base,moving_average,2018-07-16,2018-07-30,3,South,0.0
base,moving_average,2018-07-16,2018-08-06,4,South,0.0
base,moving_average,2018-07-16,2018-07-16,1,Southeast,0.0
base,moving_average,2018-07-16,2018-07-23,2,Southeast,0.0
base,moving_average,2018-07-16,2018-07-30,3,Southeast,0.0
base,moving_average,2018-07-16,2018-08-06,4,Southeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,Central-West,0.0
base,moving_average,2018-07-23,2018-07-30,2,Central-West,0.0
base,moving_average,2018-07-23,2018-08-06,3,Central-West,0.0
base,moving_average,2018-07-23,2018-08-13,4,Central-West,0.0
base,moving_average,2018-07-23,2018-07-23,1,North,0.0
base,moving_average,2018-07-23,2018-07-30,2,North,0.0
base,moving_average,2018-07-23,2018-08-06,3,North,0.0
base,moving_average,2018-07-23,2018-08-13,4,North,0.0
base,moving_average,2018-07-23,2018-07-23,1,Northeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,Northeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,Northeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,Northeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,South,0.0
base,moving_average,2018-07-23,2018-07-30,2,South,0.0
base,moving_average,2018-07-23,2018-08-06,3,South,0.0
base,moving_average,2018-07-23,2018-08-13,4,South,0.0
base,moving_average,2018-07-23,2018-07-23,1,Southeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,Southeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,Southeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,Southeast,0.0
base,moving_average,2018-07-30,2018-07-30,1,Central-West,0.0
base,moving_average,2018-07-30,2018-08-06,2,Central-West,0.0
base,moving_average,2018-07-30,2018-08-13,3,Central-West,0.0
base,moving_average,2018-07-30,2018-08-20,4,Central-West,0.0
base,moving_average,2018-07-30,2018-07-30,1,North,0.1
base,moving_average,2018-07-30,2018-08-06,2,North,0.0
base,moving_average,2018-07-30,2018-08-13,3,North,0.0
base,moving_average,2018-07-30,2018-08-20,4,North,0.0
base,moving_average,2018-07-30,2018-07-30,1,Northeast,0.3
base,moving_average,2018-07-30,2018-08-06,2,Northeast,0.0
base,moving_average,2018-07-30,2018-08-13,3,Northeast,0.0
base,moving_average,2018-07-30,2018-08-20,4,Northeast,0.0
base,moving_average,2018-07-30,2018-07-30,1,South,0.0
base,moving_average,2018-07-30,2018-08-06,2,South,0.0
base,moving_average,2018-07-30,2018-08-13,3,South,0.0
base,moving_average,2018-07-30,2018-08-20,4,South,0.0
base,moving_average,2018-07-30,2018-07-30,1,Southeast,0.0
base,moving_average,2018-07-30,2018-08-06,2,Southeast,0.0
